labels,messages,character_count,word_count,sentence_count,clean_length
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat,111,24,1,82
0,ok lar joking wif oni,29,8,1,21
1,free entry numbr wkly comp win fa cup final tkts numbrst may numbr text fa numbr receive entry question std txt rate c apply numbrovernumbr,155,36,1,139
0,dun say early hor c already say,49,13,1,31
0,nah think goes usf lives around though,61,15,1,38
1,freemsg hey darling numbr week word back like fun still tb ok xxx std chgs send ådollersnumbr rcv,148,39,4,97
0,even brother like speak treat like aids patent,77,18,2,46
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press numbr copy friends callertune,160,31,2,117
1,winner valued network customer selected receivea ådollersnumbr prize reward claim call numbr claim code klnumbr valid numbr hours,158,31,4,129
1,mobile numbr months r entitled update latest colour mobiles camera free call mobile update co free numbr,154,31,3,104
0,gonna home soon want talk stuff anymore tonight k cried enough today,109,28,2,68
1,six chances win cash numbr numbr numbr pounds txt cshnumbr send numbr cost numbrp day numbrdays numbr tsandcs apply reply hl numbr info,136,30,2,135
1,urgent numbr week free membership ådollersnumbr numbr prize jackpot txt word claim numbr c www dbuk net lccltd pobox numbrldnwnumbranumbrrwnumbr,156,32,3,144
0,searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,196,41,3,107
0,date sunday,35,10,2,11
1,xxxmobilemovieclub use credit click wap link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl,149,28,2,115
0,oh k watching,26,9,1,13
0,eh remember numbr spell name yes v naughty make v wet,81,22,2,53
0,fine thatåõs way feel thatåõs way gota b,58,14,2,40
1,england v macedonia miss goals team news txt national team numbr eg england numbr try wales scotland numbrtxt ì¼numbr poboxoxnumbrwnumbrwq numbr,156,28,2,144
0,seriously spell name,41,9,1,20
0,û going try numbr months ha ha joking,49,11,1,37
0,ì_ pay first lar da stock comin,53,13,1,31
0,aft finish lunch go str lor ard numbr smth lor finish lunch already,88,23,3,67
0,ffffffffff alright way meet sooner,57,13,2,34
0,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol,144,35,6,87
0,lol always convincing,30,6,1,21
0,catch bus frying egg make tea eating mom left dinner feel love,134,34,5,62
0,back amp packing car let know room,75,22,1,34
0,ahhh work vaguely remember feel like lol,64,16,5,40
0,wait still clear sure sarcastic x want live us,130,30,1,46
0,yeah got numbr v apologetic n fallen actin like spoilt child got caught till numbr go badly cheers,189,48,6,98
0,k tell anything,29,7,1,15
0,fear fainting housework quick cuppa,84,18,2,35
1,thanks subscription ringtone uk mobile charged ådollersnumbr month please confirm replying yes reply charged,159,30,2,108
0,yup ok go home look timings msg ì_ xuhui going learn numbrnd may lesson numbram,123,30,1,79
0,oops let know roommate done,47,12,1,27
0,see letter b car,28,8,1,16
0,anything lor decide,27,6,1,19
0,hello saturday go texting see decided anything tomo trying invite anything,155,37,4,74
0,pls go ahead watts wanted sure great weekend abiola,82,20,4,51
0,forget tell want need crave love sweet arabian steed mmmmmm yummy,142,35,2,65
1,numbr rodger burns msg tried call reply sms free nokia mobile free camcorder please call numbr delivery tomorrow,172,34,2,112
0,seeing,19,5,1,6
0,great hope like man well endowed lt gt inches,72,22,3,45
0,calls messages missed calls,32,7,1,27
0,get hep b immunisation nigeria,45,10,1,30
0,fair enough anything going,31,7,1,26
0,yeah hopefully tyler could maybe ask around bit,67,16,1,47
0,know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers,148,37,4,88
0,thinked first time saw class,58,14,2,28
0,gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt,124,35,1,91
0,k fyi x ride early tomorrow morning crashing place tonight,80,17,1,58
0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing,291,69,6,147
1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,120,27,5,100
0,know mallika sherawat yesterday find lt url gt,76,20,2,46
1,congrats numbr year special cinema pass numbr call numbr c suprman v matrixnumbr starwarsnumbr etc numbr free bxnumbr ipnumbr numbrwe numbrpm miss,161,37,7,146
0,sorry call later meeting,34,9,1,24
0,tell reached,22,4,1,12
0,yes gauti sehwag odi series,40,10,1,27
0,gonna pick dollersnumbr burger way home even move pain killing,108,29,3,62
0,ha ha ha good joke girls situation seekers,48,11,2,42
0,part checking iq,25,6,1,16
0,sorry roommates took forever ok come,56,14,1,36
0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,110,26,2,87
1,valued customer pleased advise following recent review mob awarded ådollersnumbr bonus prize call numbr,153,31,2,103
0,today song dedicated day song dedicate send valuable frnds first rply,124,29,2,69
1,urgent awarded complimentary trip eurodisinc trav aco entrynumbr ådollersnumbr claim txt dis numbr numbr numbr ådollersnumbr morefrmmob shracomorsglsuplt numbr lsnumbr numbraj,161,34,3,175
